* PowderSprgsNews, 217469130 - Inactive

* withMBC, 104673579 - Active

* NRKno, 10451602 - Active

* MapLight, 18094696 - Active

* OuestFrance, 35777570 - Active

* pewtrusts, 15738935 - Active

* NRO, 19417492 - Active

* TRTTelevizyon, 303304612 - Active

* NerdWallet, 31158841 - Active

* nbcwashington, 14980820 - Active

* DecisionHealth, 119456609 - Active

* elpaisinenglish, 216739115 - Active

* SBNation, 16745015 - Active

* CBSDC, 415851069 - Active

* tv3cat, 28373820 - Active

* WestwoodOne, 1694596596 - Active

* starsandstripes, 9130702 - Active

* Slate, 15164565 - Active

* PBS, 12133382 - Active

* pioneernewsin, 750042456671084544 - Active

* JOC_Updates, 22051757 - Active

* YahooNews, 7309052 - Active

* minesafety, 17158510 - Active

* washtradedaily, 53114618 - Active

* revistaproceso, 41156599 - Active

* nbcsandiego, 15535860 - Active

* tokyo_shimbun, 268213306 - Active

* kuna_en, 255455960 - Active

* MorningConsult, 149954544 - Active

* RedeGlobo, 18219976 - Active

* The74, 3301029022 - Active

* mbc_group, 18185862 - Active

* InsideSourcesDC, 2264624702 - Active

* skynewsarabia, 216289357 - Active

* SinoVisionEng, 851436498 - Active

* scrippsnews, 62518039 - Active

* tagesanzeiger, 202985146 - Active

* TheRoot, 23995748 - Active

* NoticiasYaDC, 156275320 - Active

* sverigesradio, 18759580 - Active

* ProPublica, 14606079 - Active

* ThompsonPub, 32494489 - Active

* PMTEditor, 798790051 - Active

* medillonthehill, 17091862 - Active

* SXMPolitics, 4114871654 - Active

* IBDinvestors, 21328656 - Active

* tvn24, 14493047 - Active

* AJENews, 18424289 - Active

* VanityFair, 15279429 - Active

* ToTheContrary, 19396560 - Active

* medpagetoday, 17509945 - Active

* segyecom, 249001732 - Active

* fox5dc, 13918492 - Active

* manifest_agency, 153586491 - Active

* tbs_pr, 74400823 - Active

* tassagency_en, 1903712426 - Active

* SPGlobal, 110522065 - Active

* nishinippon_dsg, 62243812 - Active

* weeklystandard, 17546958 - Active

* HouseDailyPress, 4180260695 - Active

* IMFpubs, 333411028 - Active

* RedAlert, 418991627 - Active

* KHNews, 23999515 - Active

* NewsHour, 14437914 - Active

* NCRonline, 25146372 - Active

* wusa9, 15391102 - Active

* voxmediainc, 386175131 - Active

* NatMortgageNews, 28361130 - Active

* TelegraphNews, 14138785 - Active

* teleSURtv, 45013575 - Active

* tbnnetworks, 41481366 - Active

* themainichi, 43852658 - Active

* ozy, 1396151678 - Active

* TheNLJ, 35790963 - Active

* Yomiuri_Online, 109488235 - Active

* keithkoffler, 26860506 - Active

* OANN, 1209936918 - Active

* RadioFreeAsia, 16561457 - Active

* VoyageReport, 817049481141252096 - Active

* PTI_News, 245687754 - Active

* ICIS_News, 466570757 - Active

* MotherJones, 18510860 - Active

* ThinkAdvisor, 34379992 - Active

* JTAnews, 14276734 - Active

* stlpublicradio, 13829772 - Active

* RNS, 27741349 - Active

* WaterwayJournal, 1002615974 - Active

* TelemundoNews, 152142811 - Active

* newsmax, 20545835 - Active

* spagov, 383112039 - Active

* i24NEWS, 1588169984 - Active

